Company,Market Share (%)2026,Revenue ($m)2026
Qantas,10.1,21431.6
Virgin Australia Holdings,2.7,5860.6
Crown Resorts,1.3,2769.2
Accor Asia Pacific,0.8,1791
Flight Centre Travel,0.7,1399.7
